house_id,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
M027,8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
M028,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
M029,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
M030,8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
M031,8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
M032,8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
M033,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
M034,8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
M035,8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
M036,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
M037,7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
M038,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
M039,7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
M040,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
M041,7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
M042,7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
M043,7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
M044,7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
M045,7560000,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
M046,7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
M047,7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
M048,7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
M049,7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
M050,7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
M051,7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
M052,7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
M053,7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
M054,7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
M055,7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
M056,7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
M057,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
M058,7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
M059,7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
M060,7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
M061,7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
M062,7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
M063,7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
M064,7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
M065,6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
M066,6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
M067,6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
M068,6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
M069,6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
M070,6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
M071,6755000,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
M072,6720000,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
M073,6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
M074,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
M075,6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
M076,6650000,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
M077,6650000,6500,3,2,3,yes,no,no,no,yes,0,yes,furnished
M078,6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
M079,6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
M080,6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
M081,6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
M082,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
M083,6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
M084,6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
M085,6510000,8250,3,2,3,yes,no,no,no,yes,0,no,furnished
M086,6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
M087,6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
M088,6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
M089,6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished
M090,6440000,5000,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
M091,6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
M092,6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
M093,6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
M094,6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
M095,6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
M096,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
M097,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
M098,6293000,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
M099,6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
M100,6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
M101,6230000,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
M102,6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
M103,6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
M104,6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
M105,6160000,4500,3,1,4,yes,no,no,no,yes,0,no,unfurnished
M106,6160000,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
M107,6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
M108,6107500,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
M109,6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
M110,6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
M111,6090000,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
M112,6083000,4300,6,2,2,yes,no,no,no,no,0,no,furnished
M113,6083000,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
M114,6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
M115,6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
M116,6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
M117,5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
M118,5950000,6420,3,1,1,yes,no,yes,no,yes,0,yes,furnished
M119,5950000,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
M120,5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
M121,5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
M122,5950000,6254,4,2,1,yes,no,yes,no,no,1,yes,semi-furnished
M123,5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished
M124,5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
M125,5943000,15600,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
M126,5880000,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
M127,5880000,6500,3,2,3,yes,no,no,no,yes,0,no,unfurnished
M128,5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
M129,5873000,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
M130,5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
M131,5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
M132,5810000,5200,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
M133,5810000,4800,3,1,3,yes,no,no,no,yes,0,no,unfurnished
M134,5803000,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
M135,5775000,6000,3,2,4,yes,no,no,no,yes,0,no,unfurnished
M136,5740000,5400,4,2,2,yes,no,no,no,yes,2,no,unfurnished
M137,5740000,4640,4,1,2,yes,no,no,no,no,1,no,semi-furnished
M138,5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
M139,5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
M140,5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
M141,5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
M142,5600000,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
M143,5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
M144,5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
M145,5600000,5000,3,1,4,yes,no,no,no,no,0,no,furnished
M146,5600000,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
M147,5600000,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
M148,5600000,6360,3,1,3,yes,no,no,no,no,0,yes,semi-furnished
M149,5600000,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
M150,5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
M151,5565000,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
M152,5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
M153,5530000,3300,3,3,2,yes,no,yes,no,no,0,no,semi-furnished
M154,5530000,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
M155,5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
M156,5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
M157,5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
M158,5495000,7980,3,1,1,yes,no,no,no,no,2,no,semi-furnished
M159,5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
M160,5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
M161,5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
M162,5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
M163,5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
M164,5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
M165,5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
M166,5320000,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
M167,5285000,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
M168,5250000,4260,4,1,2,yes,no,yes,no,yes,0,no,furnished
M169,5250000,6540,4,2,2,no,no,no,no,yes,0,no,semi-furnished
M170,5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
M171,5250000,10269,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
M172,5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
M173,5250000,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
M174,5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
M175,5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
M176,5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
M177,5243000,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
M178,5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
M179,5215000,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
M180,5215000,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
M181,5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
M182,5145000,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
M183,5145000,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
M184,5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
M185,5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
M186,5110000,11410,2,1,2,yes,no,no,no,no,0,yes,furnished
M187,5110000,6100,3,1,1,yes,no,yes,no,yes,0,yes,semi-furnished
M188,5075000,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
M189,5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
M190,5040000,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
M191,5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
M192,5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
M193,5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
M194,5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
M195,4970000,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
M196,4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
M197,4956000,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
M198,4935000,5948,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
M199,4907000,4200,3,1,2,yes,no,no,no,no,1,no,furnished
M200,4900000,4520,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
M201,4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
M202,4900000,4120,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
M203,4900000,5400,4,1,2,yes,no,no,no,no,0,no,semi-furnished
M204,4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
M205,4900000,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
M206,4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
M207,4900000,3000,3,1,2,yes,no,yes,no,yes,0,no,semi-furnished
M208,4900000,2970,3,1,3,yes,no,no,no,no,0,no,semi-furnished
M209,4900000,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
M210,4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
M211,4900000,12900,3,1,1,yes,no,no,no,no,2,no,furnished
M212,4893000,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
M213,4893000,4995,4,2,1,yes,no,yes,no,no,0,no,semi-furnished
M214,4865000,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
M215,4830000,4160,3,1,3,yes,no,no,no,no,0,no,unfurnished
M216,4830000,6040,3,1,1,yes,no,no,no,no,2,yes,semi-furnished
M217,4830000,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
M218,4830000,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
M219,4795000,7000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
M220,4795000,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
M221,4767000,3420,4,2,2,yes,no,no,no,no,0,no,semi-furnished
M222,4760000,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
M223,4760000,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
M224,4760000,10240,2,1,1,yes,no,no,no,yes,2,yes,unfurnished
M225,4753000,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
M226,4690000,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
M227,4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
M228,4690000,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
M229,4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
M230,4690000,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
M231,4690000,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
M232,4655000,3745,3,1,2,yes,no,yes,no,no,0,no,furnished
M233,4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
M234,4620000,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
M235,4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
M236,4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
M237,4620000,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
M238,4613000,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
M239,4585000,4000,3,1,2,yes,no,no,no,no,1,no,furnished
M240,4585000,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
M241,4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
M242,4550000,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
M243,4550000,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
M244,4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
M245,4550000,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
M246,4550000,3520,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
M247,4550000,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
M248,4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
M249,4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
M250,4515000,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
M251,4515000,3450,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
M252,4515000,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
M253,4515000,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
M254,4480000,4510,4,1,2,yes,no,no,no,yes,2,no,semi-furnished
M255,4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
M256,4480000,4000,3,1,2,yes,no,no,no,no,2,no,furnished
M257,4480000,8250,3,1,1,yes,no,no,no,no,0,no,furnished
M258,4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
M259,4473000,6360,2,1,1,yes,no,yes,no,yes,1,no,furnished
M260,4473000,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
M261,4473000,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
M262,4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
M263,4410000,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
M264,4410000,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
M265,4403000,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
M266,4403000,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
M267,4403000,4920,3,1,2,yes,no,no,no,no,1,no,semi-furnished
M268,4382000,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
M269,4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
M270,4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
M271,4340000,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
M272,4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
M273,4340000,3500,4,1,2,yes,no,no,no,no,2,no,furnished
M274,4340000,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
M275,4319000,4032,2,1,1,yes,no,yes,no,no,0,no,furnished
M276,4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
M277,4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
M278,4277000,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
M279,4270000,6360,2,1,1,yes,no,no,no,no,0,no,furnished
M280,4270000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
M281,4270000,4500,2,1,1,yes,no,no,no,yes,2,no,furnished
M282,4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
M283,4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished
M284,4270000,7770,2,1,1,yes,no,no,no,no,1,no,furnished
M285,4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
M286,4235000,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
M287,4200000,5500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
M288,4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
M289,4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
M290,4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
M291,4200000,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
M292,4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
M293,4200000,4410,2,1,1,no,no,no,no,no,1,no,unfurnished
M294,4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
M295,4200000,2325,3,1,2,no,no,no,no,no,0,no,semi-furnished
M296,4200000,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
M297,4200000,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
M298,4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
M299,4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished
M300,4200000,4079,3,1,3,yes,no,no,no,no,0,no,semi-furnished
M301,4200000,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
M302,4200000,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
M303,4200000,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
M304,4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
M305,4193000,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
M306,4165000,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
M307,4165000,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
M308,4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
M309,4130000,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
M310,4130000,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
M311,4123000,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
M312,4098500,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
M313,4095000,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
M314,4095000,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
M315,4095000,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
M316,4060000,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
M317,4060000,4992,3,2,2,yes,no,no,no,no,2,no,unfurnished
M318,4060000,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
M319,4060000,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
M320,4060000,4320,3,1,2,yes,no,no,no,no,2,yes,furnished
M321,4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
M322,4025000,3460,3,2,1,yes,no,yes,no,yes,1,no,furnished
M323,4025000,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
M324,4007500,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
M325,4007500,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
M326,3990000,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
M327,3990000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
M328,3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
M329,3990000,3960,3,1,2,yes,no,no,no,no,0,no,furnished
M330,3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
M331,3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
M332,3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
M333,3920000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
M334,3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
M335,3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
M336,3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
M337,3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
M338,3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
M339,3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished
M340,3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
M341,3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
M342,3850000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
M343,3850000,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
M344,3850000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
M345,3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
M346,3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
M347,3836000,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
M348,3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
M349,3780000,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
M350,3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
M351,3780000,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
M352,3780000,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
M353,3780000,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
M354,3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished
M355,3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished
M356,3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
M357,3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished
M358,3745000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
M359,3710000,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
M360,3710000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
M361,3710000,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
